"inst","w","var","inc","feas","fixed_solved","fixed_time","flex_solved","flex_time"
496,5,2,10,TRUE,TRUE,0.323,TRUE,4.082
499,5,2,10,TRUE,TRUE,0.352,TRUE,14.529
501,5,2,10,TRUE,TRUE,0.604,TRUE,12.105
506,5,2,10,TRUE,TRUE,0.621,TRUE,35.683
507,5,2,10,TRUE,TRUE,1.483,TRUE,19.256
508,5,2,10,TRUE,TRUE,1.406,TRUE,10.324
510,5,2,10,TRUE,TRUE,3.019,TRUE,20.374
511,5,2,10,TRUE,TRUE,1.465,TRUE,5.574
512,5,2,10,TRUE,TRUE,0.709,FALSE,120.014
513,5,2,10,TRUE,TRUE,2.32,TRUE,17.852
514,5,2,10,TRUE,TRUE,0.591,TRUE,10.692
53,5,2,10,TRUE,TRUE,2.346,FALSE,120.019
54,5,2,10,TRUE,TRUE,7.507,TRUE,88.659
55,5,2,10,TRUE,TRUE,7.344,FALSE,120.018
58,5,2,10,TRUE,TRUE,6.038,FALSE,120.016
62,5,2,10,TRUE,TRUE,19.244,FALSE,120.016
63,5,2,10,TRUE,TRUE,10.422,FALSE,120.016
64,5,2,10,TRUE,TRUE,25.852,FALSE,120.014
65,5,2,10,TRUE,TRUE,8.351,FALSE,120.016
116,5,2,20,TRUE,TRUE,0.42,TRUE,4.869
117,5,2,20,TRUE,TRUE,0.861,TRUE,3.58
118,5,2,20,TRUE,TRUE,0.808,TRUE,44.278
121,5,2,20,TRUE,TRUE,0.245,TRUE,1.277
123,5,2,20,TRUE,TRUE,0.582,TRUE,3.312
124,5,2,20,TRUE,TRUE,0.59,TRUE,2.857
125,5,2,20,TRUE,TRUE,1.678,TRUE,1.906
126,5,2,20,TRUE,TRUE,0.34,TRUE,1.411
128,5,2,20,TRUE,TRUE,1.018,TRUE,5.076
129,5,2,20,TRUE,TRUE,0.564,TRUE,4.008
133,5,2,20,FALSE,TRUE,5.073,TRUE,4.29
137,5,2,20,TRUE,TRUE,0.262,TRUE,3.333
138,5,2,20,TRUE,TRUE,0.599,TRUE,2.005
139,5,2,20,TRUE,TRUE,0.921,TRUE,2.308
140,5,2,20,TRUE,TRUE,1.729,TRUE,2.576
