"inst","w","var","inc","fixed_evpir","fixed_vssr","flex_evpir","flex_vssr"
135,6,2,10,4.25452741255295,2.4931778714959,3.51249999999976,-0.612499999999513
135,6,2,20,5.48950137236941,0.72049405306496,7.99378757515029,-3.96348252059653
135,6,5,10,12.9193022810044,4.58756628969408,12.556140125754,-10.3618632105737
135,6,5,20,11.8070670316173,NA,10.6861022344477,-4.69576376318287
136,6,2,10,6.45892497652691,-0.702527071394243,4.05627615062761,-1.72013017201324
136,6,2,20,6.82804838835172,2.69683330200442,5.4830966239816,-1.10593713620534
136,6,5,10,11.2686252035952,0.567050732943362,8.04576144036009,-3.36959239809939
136,6,5,20,16.3242043732778,13.1910674527266,7.64893816951701,5.16193697926442
137,5,2,10,8.86105045397081,NA,3.48101265822785,0
137,5,2,20,11.1849504140681,2.3617217053471,6.94161756829137,0
137,5,5,10,9.84360038301947,1.74912224704756,4.21188279978297,0
137,5,5,20,NA,NA,40.2648601064033,NA
138,5,2,10,7.07236842105263,1.67763157894736,1.95511337343822,1.94354465525221
138,5,2,20,10.4892934726389,NA,3.77001779359432,0
138,5,5,10,8.06216042530817,5.08266635508559,4.73970944309927,-1.48910411622275
138,5,5,20,13.8885924661189,NA,4.03163465540822,1.31414639947671
139,5,2,10,5.99933708982434,3.08253231687106,4.52250028055213,0
139,5,2,20,20.4460966542751,NA,2.66090516261087,0
139,5,5,10,12.609478849618,4.11205664948132,6.33779375540908,0.945343186205981
139,5,5,20,NA,NA,2.45028206735426,0.529944726195222
140,5,2,10,7.40213523131672,6.58362989323843,3.81961557417447,1.42927550517497
140,5,2,20,36.7975789256483,NA,4.72783825816485,0
140,5,5,10,13.4135855546002,NA,7.16449361253786,0.90214671407876
140,5,5,20,16.4663520023356,NA,10.143941376603,NA
144,4,2,10,9.08164750400233,NA,7.01101518309021,NA
144,4,2,20,NA,NA,NA,NA
144,4,5,10,18.7647405660377,NA,14.6044781901294,NA
144,4,5,20,NA,NA,NA,NA
164,4,2,10,5.80958999305073,3.25225851285615,4.41466854724965,3.01833568406206
164,4,2,20,NA,NA,NA,NA
164,4,5,10,11.8191022612217,NA,6.93831030061262,6.4539108135062
164,4,5,20,NA,NA,NA,NA
191,4,2,10,10.3290560284589,NA,5.86823152840758,5.98826353694318
191,4,2,20,NA,NA,NA,NA
191,4,5,10,20.5947136563877,NA,12.3285820441802,14.0512058366547
191,4,5,20,NA,NA,NA,NA
192,5,2,10,4.99601684306363,0.261750312962326,4.0239135433433,-1.36813060473672
192,5,2,20,8.76423149905124,NA,5.31692307692308,0
192,5,5,10,11.5258454925913,14.5967650718244,5.38284746582799,3.95548566590056
192,5,5,20,18.7175151856722,23.72722149164,8.94423009470361,0
193,5,2,10,6.49397158887431,0.393935776530972,3.90136179609865,0.883327199116664
193,5,2,20,7.98983951044915,NA,4.02264241840298,1.71022521980008
193,5,5,10,16.7091063417,10.567479083303,5.51581843191197,4.77991746905089
193,5,5,20,17.0402012990813,NA,7.77987380472256,0.513887985429005
194,6,2,10,9.62399529964726,-0.810810810810813,9.59212413306667,-1.50464323498273
194,6,2,20,7.06577303192114,0.34079291150744,5.40009250693781,-0.115633672524987
194,6,5,10,19.9694771876301,1.18568853141034,19.6854637812262,-3.91761185721273
194,6,5,20,15.5867441572896,27.4390997897858,8.66336633663354,5.10436178753025
